current_speed_kmh,current_delay_min,distance_to_next_station_km,current_position_km,distance_remaining_km,estimated_running_time_min,delay_ratio,train_priority_EXPRESS,train_priority_FREIGHT,train_priority_HIGH_SPEED,train_priority_PASSENGER,has_train_ahead,distance_to_ahead_train_km,ahead_train_speed_kmh,ahead_train_eta_min,expected_clearance_time_min,relative_speed_kmh,closing_speed_kmh,time_to_close_gap_min,headway_margin_min,signal_code,current_headway_min,safe_required_headway_min,platform_available,speed_restriction_kmh,junction_busy,route_blocked,section_occupancy,time_of_day,weather_condition_CLEAR,weather_condition_FOG,weather_condition_RAIN,weather_condition_STORM,speed_mean,speed_std,speed_trend,position_progress_rate,delay_mean,delay_std,delay_trend,conflict,conflict_probability,expected_delay_min
71.2,6.9,27.6,174.8,27.6,23.26,0.297,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,15.2,0.0,18.2,3.0,1.0,50.0,0.0,0.0,0.0,18.2,1.0,0.0,0.0,0.0,68.0,4.74,-11.6,1.312,6.6,0.3,0.6,0,0.0185,12.6
123.2,3.8,28.6,109.0,28.6,13.93,0.273,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,12.5,0.0,15.5,3.0,0.5,30.0,1.0,0.0,0.0,12.4,1.0,0.0,0.0,0.0,127.1,0.49,-1.2,1.857,2.75,1.05,2.1,1,0.1334,26.7
39.7,0.3,1.1,77.3,1.1,1.66,0.18,0.0,1.0,0.0,0.0,1.0,14.08,24.7,34.2,36.4,15.0,15.0,56.32,6.8,1.0,9.8,3.0,1.0,80.0,0.0,0.0,0.0,16.8,1.0,0.0,0.0,0.0,38.2,0.57,1.4,0.555,1.0,0.7,-1.4,1,0.3391,9.4
75.9,15.0,10.2,157.8,10.2,8.06,1.86,0.0,0.0,0.0,1.0,1.0,13.29,60.1,13.3,17.6,15.8,15.8,50.47,10.9,0.0,13.9,3.0,1.0,120.0,1.0,0.0,0.0,4.1,1.0,0.0,0.0,0.0,77.9,0.08,0.2,1.307,15.8,0.8,-1.6,1,0.6516,23.5
106.4,23.6,25.3,187.7,25.3,14.27,1.654,1.0,0.0,0.0,0.0,1.0,7.51,95.0,4.7,6.1,11.4,11.4,39.53,3.9,3.0,6.9,3.0,0.5,120.0,0.0,0.0,0.0,17.8,1.0,0.0,0.0,0.0,106.8,6.12,-15.0,1.765,23.45,0.15,0.3,1,0.8415,36.0
126.4,3.4,16.6,71.1,16.6,7.88,0.431,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,7.2,0.0,10.2,3.0,1.0,160.0,0.0,0.0,0.0,9.1,1.0,0.0,0.0,0.0,130.1,3.67,-9.0,2.122,3.1,0.3,0.6,0,0.0314,3.1
101.4,5.7,24.4,81.9,24.4,14.44,0.395,1.0,0.0,0.0,0.0,1.0,18.5,69.2,16.0,18.8,32.2,32.2,34.47,18.6,0.0,21.6,3.0,1.0,120.0,0.0,0.0,0.0,1.6,1.0,0.0,0.0,0.0,97.6,1.71,4.2,1.553,5.95,0.25,-0.5,0,0.1728,5.0
154.8,3.6,25.7,163.7,25.7,9.96,0.361,0.0,0.0,1.0,0.0,1.0,13.56,82.1,9.9,13.1,72.7,72.7,11.19,15.1,0.0,18.1,3.0,1.0,120.0,0.0,0.5,0.0,6.9,0.0,0.0,0.0,1.0,153.2,3.59,-8.8,2.504,4.55,0.95,-1.9,1,0.2972,11.1
63.0,2.3,13.8,241.7,13.8,13.14,0.175,0.0,0.0,0.0,1.0,1.0,6.32,31.6,12.0,13.2,31.4,31.4,12.08,15.7,0.0,18.7,3.0,1.0,80.0,0.0,0.5,0.0,20.2,1.0,0.0,0.0,0.0,60.5,1.22,3.0,1.004,0.8,1.5,3.0,0,0.3081,12.6
69.2,0.5,11.4,61.3,11.4,9.88,0.051,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,14.4,1.0,17.4,3.0,1.0,80.0,0.5,1.0,0.0,11.1,0.0,0.0,0.0,1.0,71.5,9.23,-22.6,1.214,-0.5,1.0,2.0,0,0.5968,20.7
128.0,3.7,14.2,167.0,14.2,6.66,0.556,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,15.1,1.0,18.1,3.0,1.0,120.0,0.0,0.0,0.0,20.2,1.0,0.0,0.0,0.0,126.9,1.8,4.4,2.373,2.9,0.8,1.6,0,0.0529,8.2
133.2,10.2,19.9,227.6,19.9,8.96,1.138,0.0,0.0,1.0,0.0,1.0,6.94,74.7,5.6,8.7,58.5,58.5,7.12,10.3,2.0,13.3,3.0,1.0,120.0,0.0,0.0,0.0,21.4,1.0,0.0,0.0,0.0,131.1,5.63,-13.8,2.405,10.55,0.35,-0.7,0,0.4523,10.1
65.4,0.1,11.6,120.9,11.6,10.64,0.009,0.0,1.0,0.0,0.0,1.0,3.31,33.1,6.0,8.1,32.3,32.3,6.15,9.8,1.0,12.8,3.0,0.5,120.0,0.5,0.5,0.0,19.6,1.0,0.0,0.0,0.0,71.0,1.06,2.6,1.257,0.05,0.05,0.1,1,0.6793,12.5
122.4,5.2,23.5,86.0,23.5,11.52,0.451,1.0,0.0,0.0,0.0,1.0,2.95,120.0,1.5,3.8,2.4,2.4,73.75,16.2,1.0,19.2,3.0,1.0,80.0,0.0,0.0,0.0,1.7,1.0,0.0,0.0,0.0,125.7,2.29,5.6,2.053,5.7,0.5,-1.0,1,0.3972,12.1
90.5,12.8,27.2,170.0,27.2,18.03,0.71,1.0,0.0,0.0,0.0,1.0,1.39,80.0,1.0,5.0,10.5,10.5,7.94,19.3,3.0,22.3,3.0,1.0,160.0,0.0,0.0,0.0,16.3,1.0,0.0,0.0,0.0,94.2,2.86,7.0,1.568,12.4,0.4,0.8,1,0.9373,24.5
111.2,1.5,9.2,17.5,9.2,4.96,0.302,1.0,0.0,0.0,0.0,1.0,0.78,92.7,0.5,5.4,18.5,18.5,2.53,15.7,3.0,18.7,3.0,1.0,160.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,1.0,108.9,0.16,-0.4,1.954,0.4,1.1,2.2,1,0.9679,17.2
83.6,1.2,29.0,96.4,29.0,20.81,0.058,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,13.6,1.0,16.6,3.0,1.0,160.0,0.0,0.0,0.0,21.2,1.0,0.0,0.0,0.0,83.1,0.0,0.0,1.614,-0.05,1.25,2.5,0,0.048,5.4
78.5,8.9,19.1,71.9,19.1,14.6,0.61,0.0,0.0,0.0,1.0,1.0,1.41,75.7,1.1,4.8,2.8,2.8,30.21,8.9,2.0,11.9,3.0,1.0,50.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,0.0,74.9,8.08,-19.8,1.263,9.3,0.4,-0.8,0,0.8032,14.5
52.0,1.8,26.5,63.9,26.5,30.58,0.059,0.0,0.0,0.0,1.0,1.0,18.06,35.2,30.8,32.8,16.8,16.8,64.5,16.6,0.0,19.6,3.0,0.5,160.0,0.0,0.0,0.0,10.4,0.0,0.0,1.0,0.0,52.4,4.98,-12.2,0.856,1.6,0.2,0.4,0,0.1572,1.1
83.5,1.3,4.0,53.1,4.0,2.87,0.452,1.0,0.0,0.0,0.0,1.0,2.42,61.2,2.4,5.6,22.3,22.3,6.51,11.9,2.0,14.9,3.0,0.5,80.0,0.0,0.0,0.0,2.6,1.0,0.0,0.0,0.0,86.2,3.27,-8.0,1.443,-0.05,1.35,2.7,0,0.6989,10.8
61.0,2.8,8.3,186.9,8.3,8.16,0.343,0.0,0.0,0.0,1.0,1.0,11.91,33.3,21.5,22.9,27.7,27.7,25.8,19.1,0.0,22.1,3.0,1.0,120.0,0.0,0.0,0.0,6.8,0.0,0.0,1.0,0.0,62.6,1.71,-4.2,1.136,1.65,1.15,2.3,0,0.1652,6.7
108.8,3.0,10.3,239.2,10.3,5.68,0.528,1.0,0.0,0.0,0.0,1.0,14.35,91.4,9.4,13.8,17.4,17.4,49.48,11.8,1.0,14.8,3.0,0.5,160.0,0.0,0.5,0.0,21.9,1.0,0.0,0.0,0.0,106.1,2.69,-6.6,1.787,3.5,0.5,-1.0,0,0.3422,3.8
122.7,12.4,9.8,102.3,9.8,4.79,2.588,1.0,0.0,0.0,0.0,1.0,13.08,132.1,5.9,8.7,-9.4,0.0,999.0,14.5,0.0,17.5,3.0,1.0,120.0,0.0,0.0,0.0,22.6,1.0,0.0,0.0,0.0,123.2,1.22,3.0,1.927,12.3,0.1,0.2,0,0.2141,12.2
84.0,5.8,6.0,21.8,6.0,4.29,1.353,0.0,0.0,0.0,1.0,1.0,17.0,56.3,18.1,20.5,27.7,27.7,36.82,7.8,0.0,10.8,3.0,0.5,120.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,83.5,1.8,4.4,1.372,5.5,0.3,0.6,0,0.6518,12.7
